,Return,Volatility,VGSH,AAPL,VOO,AMZN
2027,0.1649965470542799,0.17330070221816424,0.29528537599750493,0.22496783890324198,0.2738508973388267,0.20589588776042636
859,0.17677648613774252,0.17333456842880812,0.3936051257216574,0.31263220147032816,0.01502017805706506,0.27874249475094937
2362,0.1422685832392507,0.17333818858140604,0.2135254807419533,0.0861137685214814,0.5453815717933789,0.1549791789431863
2760,0.17580159626604647,0.17335589641169483,0.33041790302712115,0.3416544697381575,0.24026204465441464,0.08766558258030664
442,0.17599094454744374,0.17338711366058934,0.3710936927233345,0.30564305052724583,0.07160703490640824,0.2516562218430115
1900,0.17111274937956705,0.17339128531716388,0.30678172521101804,0.3119161319354373,0.31193525249840415,0.0693668903551404
870,0.1693033821127768,0.17339385053699333,0.29908334634475864,0.3024302595288489,0.3392844545591814,0.05920193956721107
1065,0.16580380141710022,0.1733954737923637,0.2876490797097896,0.24216569539350294,0.3122430000098373,0.1579422248868701
1264,0.18312791122743577,0.1733999169966318,0.376441868214738,0.41471167693971805,0.14979891330225867,0.059047541543285245
2647,0.172129583457622,0.1734954678583212,0.37086468664017974,0.2707963421015881,0.06334045826522566,0.29499851299300656
1755,0.13787864239855654,0.17351256164580142,0.2817651925798155,0.02117612669920554,0.31593668343626624,0.38112199728471263
1293,0.19007798055397188,0.1735271063454815,0.4327193497540572,0.48487303564697515,0.03280080946026011,0.0496068051387076
2191,0.15219545644674037,0.17353248097707794,0.2891900696505346,0.11784163217683555,0.2744690206814389,0.31849927749119084
2901,0.14640440019786632,0.1735395659285589,0.268336952490561,0.0788973869034239,0.3376709115198488,0.31509474908616636
1206,0.18624196193460993,0.17354842085739536,0.4023711501685111,0.4570963672267649,0.11407580208044017,0.026456680524283627
1236,0.1615477727318295,0.17364358790458637,0.2688586062519055,0.2575257411742796,0.44215094147958534,0.03146471109422959
1482,0.1446711177691422,0.173648168738556,0.2920674993662576,0.06501675843493998,0.27530507630436873,0.36761066589443364
1273,0.16304420372581202,0.17366925947575776,0.3191893789488803,0.1969046819434258,0.18985937779065012,0.2940465613170438
589,0.16200752626183407,0.17367757029553077,0.3013055082976978,0.19138182682836766,0.24022469837895782,0.26708796649497657
2845,0.13333252275819324,0.17369400229150414,0.3720878418187333,0.008511671803767967,0.119952273813241,0.4994482125642577
1783,0.17031953064572034,0.17375378846517303,0.37001251215816156,0.2545288970580275,0.0615057176992408,0.3139528730845702
993,0.15846322075576,0.17375996858838638,0.2640343967195898,0.17823948944158308,0.36040243122367915,0.19732368261514802
2710,0.14982130579118372,0.1737673689654678,0.3872549639299835,0.1140254563320107,0.04523109700614378,0.45348848273186204
2498,0.15746041226043184,0.17380009442966166,0.373252545211274,0.16081617535347223,0.06145483116193884,0.404476448273315
1527,0.16556324885118504,0.17380999530888624,0.3105324973326039,0.2187346723568705,0.21649773019022114,0.2542351001203044
165,0.181108905611224,0.17381644183534034,0.35879438025479804,0.3748166778130012,0.15409386598617464,0.11229507594602618
977,0.18266795641480066,0.17387606161862734,0.36804805141290925,0.40505972859016226,0.16113397615535352,0.06575824384157486
1762,0.15566687074419402,0.17390996914588816,0.2826129989385103,0.1428842798639138,0.2887972053225015,0.2857055158750744
1925,0.181947846013855,0.17400465741253687,0.3620770646680307,0.38292097845811,0.1484321583769255,0.10656979849693386
784,0.13587933075595302,0.17402084052293965,0.3275968490938754,0.012195366440806056,0.20816812199930795,0.45203966246601074
2850,0.15110857796709654,0.17407152856216992,0.22835620482900743,0.15505981303890937,0.5089621593312381,0.1076218228008449
1319,0.17106949997249377,0.1741184124789318,0.3192194196257154,0.2657262225405497,0.2020915318206774,0.21296282601305744
667,0.1787818298051613,0.17412105902000488,0.3440180173376227,0.3457193373077188,0.173255463326687,0.13700718202797135
920,0.16177327344388198,0.174125226456305,0.28618502981732385,0.19129370924783085,0.28222388590503095,0.24029737502981446
1032,0.1749194338922027,0.1741300441310179,0.32066390948002454,0.3178375954372708,0.23660682487324897,0.12489167020945567
241,0.17446613815214815,0.17420889399357642,0.3207196909848648,0.3511143790420921,0.29871765347334633,0.02944827649969674
420,0.18193706929420886,0.1742286461203048,0.3752380321907751,0.36090369357653446,0.07724084254627364,0.1866174316864168
729,0.15381331209350246,0.1743946599782509,0.23687285586496165,0.19681221407928232,0.5225189333503815,0.04379599670537448
1858,0.1470525849320285,0.1744104516273971,0.3438133781604904,0.08373563819942871,0.1422455225185202,0.4302054611215607
834,0.1673372356330287,0.17441065299237068,0.33636083208485495,0.22607908328135462,0.13909259991875347,0.29846748471503703
1580,0.1629856000771105,0.17445131122775334,0.29994343171755433,0.19468570992027234,0.2366366211478959,0.26873423721427736
2345,0.14061088253284293,0.17447025698006335,0.2629614920269333,0.03514759693838898,0.352736092887652,0.34915481814702576
45,0.1679594872880975,0.17447667921675164,0.28392742424037565,0.267584896077961,0.3369180200674895,0.11156965961417381
1554,0.18031589042554652,0.17450513793097214,0.3474608504178253,0.3846138108203722,0.2103026431269953,0.057622695634807077
2051,0.1752646067430255,0.17453239164087972,0.36647340420934615,0.2915276461965522,0.06908326082113912,0.27291568877296263
245,0.14024243351575683,0.17464755279600874,0.23377490429512043,0.037512310130561485,0.4370116911493848,0.29170109442493314
2259,0.17030104898090004,0.174761999170856,0.34592410614884417,0.24808142632623442,0.11312297325466888,0.2928714942702526
2252,0.19161315033958148,0.17478036234571429,0.4379531487518591,0.5084334495925621,0.039228105292436644,0.014385296363142288
1145,0.16616174646686271,0.1747959647246805,0.31469172019921837,0.2161432064651734,0.19357585216432685,0.2755892211712814
