,Return,Volatility,VGSH,VO,VOO,AMZN
1632,0.12195696889773651,0.18044283021797747,0.15885844285146672,0.3309048022627262,0.34447106990937476,0.16576568497643232
993,0.11003451189957968,0.1804507746059601,0.16464342647956207,0.5753745870241644,0.14432840664852253,0.11565357984775093
2728,0.1255108923208496,0.1804597640839758,0.18196249427009054,0.37183576418654,0.18160839261435666,0.2645933489290129
2409,0.13475117695484148,0.18048459698033315,0.20220875362473167,0.13146303456241065,0.3435753644201718,0.32275284739268584
1276,0.13393520411140838,0.18049006186043579,0.2555446894972117,0.19458375748863968,0.12843150491193453,0.4214400481022141
2540,0.11015211950635344,0.18049710338567515,0.1556487884357526,0.3747046619894781,0.4452100830208502,0.024436466553919182
480,0.12276815883589462,0.1805567661095848,0.17567263020238125,0.42373443061488825,0.16131361567203184,0.23927932351069858
127,0.13509666553271069,0.18056679785890967,0.21395691460054414,0.13851602094358761,0.29889211012690675,0.3486349543289615
1985,0.13061173458170347,0.18058992332605053,0.20062125226195568,0.2712833564794027,0.20695922296945168,0.32113616828919
322,0.13387191329846906,0.18061543908052513,0.27533273429598376,0.1911115221335371,0.0829074606486453,0.45064828292183384
1374,0.13452598573977306,0.18063781621901373,0.27035914342935485,0.1708419749544228,0.1154692003789494,0.443329681237273
2123,0.1163380850438347,0.1806381442846459,0.1504271470562607,0.3106765893301852,0.4674151850303001,0.071481078583254
1277,0.11853983310021173,0.18064512352322348,0.14905650431006684,0.269501889566692,0.49963234941124285,0.08180925671199832
874,0.11544125660246118,0.18064904135133444,0.14914407391568862,0.2573604007831191,0.5565519369993241,0.03694358830186799
696,0.12282997994671589,0.18069600218819967,0.15848000215061706,0.32170636332743535,0.3469034974675364,0.17291013705441127
597,0.13086895600346504,0.18071364685763872,0.19152584100056236,0.24694156101777243,0.26100159386510385,0.3005310041165613
1553,0.10819662269187116,0.18071861280857954,0.15731862424440426,0.4180861035850012,0.4059501226182558,0.018645149552338713
277,0.12871268898796848,0.1807431938380733,0.19370315180448022,0.3211780808103706,0.18011576346758565,0.30500300391756346
2367,0.1249122356674579,0.18082887041598245,0.16526103099693687,0.3245492370010016,0.29835913026746314,0.21183060173459844
1973,0.13775490822944855,0.18085640852442197,0.19704374188577592,0.0254128777970841,0.46543316506125143,0.31211021525588856
2636,0.10835874047044086,0.18087410678471091,0.15837569925172545,0.4933495012965813,0.2964128539595183,0.05186194549217504
1161,0.13036420463433204,0.18087461191467488,0.17764991532884084,0.22654584839936678,0.3318176269921276,0.2639866092796647
1685,0.1271182860111395,0.18088384112224287,0.16619278669810655,0.2722445690751058,0.34004851283120235,0.2215141313955853
2036,0.139155031966332,0.18089098462891978,0.24926877507560644,0.0116174588455328,0.33136742174174305,0.40774634433711776
2364,0.10001475845025988,0.18089286736000065,0.16995310459548357,0.6185847046511058,0.2006630937545079,0.010799096998902762
2372,0.10850695050354985,0.18091110881856154,0.1562534395533525,0.42036993888358626,0.4014962052777823,0.021880416285278845
2698,0.12751302651117244,0.18093999196772678,0.16599996994996488,0.26243295839727115,0.3490674734408897,0.22249959821187426
1593,0.1303089626141341,0.18094768485569987,0.1810780712038526,0.24278773305355958,0.301075601275217,0.27505859446737074
1080,0.1344686889580292,0.1809999261141049,0.23967207295514048,0.1880009058981303,0.17170805003371897,0.40061897111301026
1377,0.1373488385014437,0.18100119807303058,0.23083720755552714,0.08114363092718686,0.30578526274872686,0.3822338987685591
195,0.13886643802877657,0.18102987838858284,0.2677872492713114,0.018261813772657075,0.2779809295797422,0.43597000737628944
681,0.12552958794654326,0.1810466185144214,0.14137852334883633,0.03484303727648101,0.7551080134323283,0.06867042594235438
